"author_id","created_at","id","lang","retweet_count","text"
"1461446669283823620","2022-08-08T01:08:23Z","1556447194751897600","pt","45","RT @EdegarPretto O meu candidato vice-governador é o @PedroRuasPsol fundador trabalhismo e defensor da escola integral de Leonel Bri…"
"1509136324028243968","2022-08-08T01:08:23Z","1556447194521239558","pt","0","Periga o Argenta chamar o Simon pra responder uma pergunta\n\n#DebateNaBandRS"
"1059756148851687424","2022-08-08T01:08:21Z","1556447186484871169","pt","14","RT @WinstonLing Segue o link para assistirem o debate de hoje pela internet vamos apoiar o nosso próximo governador @onyxlorenzoni  \n\nBA…"
"714958583239151616","2022-08-08T01:08:20Z","1556447184811397120","pt","88","RT @EdegarPretto Eu quero dizer aos gaúchos e gaúchas que se eu governador vou anular todos os atos de privatização da nossa Corsan…"
"1455004730","2022-08-08T01:08:20Z","1556447184580747264","pt","0","@wmfigueiredo @evertonvf @bandrs @EduardoLeite_ Aos que gostam governador atual quando forem posto de combustível paguem o valor sem redução ICMS pois este governador não quer redução"
"1230679135778983936","2022-08-08T01:08:20Z","1556447182064128000","und","0","@EduardoLeite_ 🤡 "
"116829646","2022-08-08T01:08:19Z","1556447176842268674","pt","41","Nós já governamos o Rio Grande Sul com @olivio_dutra e @tarsogenro e nós nunca aumentamos impostos nunca vendemos o patrimônio dos gaúchos não atrasamos o salário dos servidores ] \n#LulaOlivioPrettoRuas #DebatenaBandRS"
"337744562","2022-08-08T01:08:18Z","1556447174124310528","pt","1","Onyx Caixa 2 confesso não pode falar em corrupção \no fecho Edegarrrrr #LulaOlivioPrettoRuas #DebatenaBandRS"
"2336691999","2022-08-08T01:08:17Z","1556447171561529345","pt","0","@onyxlorenzoni Essa gente de bem é mesma que é intolerante e  mata por preferência política\n\nCruzes"
"176570576","2022-08-08T01:08:17Z","1556447170458308608","pt","31","RT @LeonelRadde @EdegarPretto demolindo o Onyx Caixa 2 corrupto confesso e propagador de fake news #LulaOlivioPrettoRuas  #DebateNaBand"
"1276320354399649795","2022-08-08T01:08:16Z","1556447167694471171","pt","121","RT @JulianaBrizola Oi O PDT não coloca educação como prioridade @EduardoLeite_  Em que mundo tu vives Te desafio sair ruas e…"
"2800008013","2022-08-08T01:08:16Z","1556447166272520192","pt","1","RT @O_Marcoss Chegou até suar o implante novo q fez \n\n#DebateNaBandRS #LulaOlivioPrettoRuas "
"2235596608","2022-08-08T01:08:15Z","1556447160857665538","pt","32","RT @laurasito Onyx caixa 2 confesso não pode falar de corrupção""\n\n@EdegarPretto veio reto Onyx\n\n#DebateNaBandRS #LulaOlivioEdegarRu…"
"260033336","2022-08-08T01:08:11Z","1556447144772501506","pt","131","RT @LeonelRadde Onyx Caixa 2 já mentiu umas 200 vezes nesse debate propagando fake news na cara dura \nAqui está verdade "
"1461446669283823620","2022-08-08T01:08:11Z","1556447144197881864","pt","79","RT @EdegarPretto Não consigo compreender como um governo permitiu que os servidores da educação ficassem sete anos sem reposição salarial…"
"124157459","2022-08-08T01:08:10Z","1556447142461538307","pt","77","O @EdegarPretto direto para o Onix eu poderia ficar horas aqui falando das obras PAC RS Qual obra o governo Bolsonaro fez estado Bolsonaro não faz obra ele espalha o ódio fome e o desemprego""\n\n#LulaOlivioEdegarRuas\n#DebateNaBand\n#RSQueOPovoQuer\n#EquipeValdeci"
"334863643","2022-08-08T01:08:10Z","1556447141308108801","pt","0","@marisol_santoss @EduardoLeite_ Ônix governador"
